geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US13121008902,"Census Tract 89.02, Fulton, GA",7307,504,6969,507,4341,468,2181,444,69,55,361,202,0,19,0,19,17,24,0,19,17,24,338,138,278,130,44,70,0,19,0,19,0,19,16,25,0,19,0,19,0,19
14000US13121008903,"Census Tract 89.03, Fulton, GA",2175,376,1279,233,426,112,742,254,0,13,83,48,0,13,0,13,28,29,0,13,28,29,896,265,400,246,4,6,0,13,0,13,0,13,478,292,14,21,0,13,14,21
14000US13121008904,"Census Tract 89.04, Fulton, GA",5064,369,4934,389,4031,411,458,169,0,19,259,166,0,19,0,19,186,118,16,24,170,121,130,112,118,109,0,19,0,19,0,19,0,19,12,21,0,19,0,19,0,19
14000US13121009000,"Census Tract 90, Fulton, GA",5300,332,5125,340,4221,392,430,199,11,19,403,210,0,19,0,19,60,47,0,19,60,47,175,110,154,108,0,19,0,19,0,19,0,19,8,12,13,20,13,20,0,19
14000US13121009101,"Census Tract 91.01, Fulton, GA",5270,573,5198,571,3642,449,770,327,0,19,448,236,0,19,17,28,321,193,0,19,321,193,72,57,30,36,0,19,0,19,13,21,0,19,29,37,0,19,0,19,0,19
14000US13121009102,"Census Tract 91.02, Fulton, GA",3369,332,3189,326,2205,309,611,219,0,13,234,143,0,13,0,13,139,100,29,45,110,87,180,121,69,60,18,29,0,13,0,13,0,13,16,28,77,96,77,96,0,13
14000US13121009200,"Census Tract 92, Fulton, GA",7323,668,5729,538,3309,310,1505,534,12,20,618,286,0,19,0,19,285,143,20,35,265,138,1594,585,1483,598,0,19,0,19,0,19,0,19,0,19,111,107,80,93,31,49
14000US13121009300,"Census Tract 93, Fulton, GA",5117,661,4569,373,4245,379,140,84,9,15,136,117,0,19,0,19,39,64,0,19,39,64,548,608,525,604,0,19,0,19,0,19,0,19,23,37,0,19,0,19,0,19
14000US13121009402,"Census Tract 94.02, Fulton, GA",5124,492,4466,453,2581,346,841,233,0,19,820,382,7,9,23,38,194,109,16,26,178,107,658,281,446,235,0,19,46,76,0,19,70,71,45,45,51,53,29,39,22,37
14000US13121009403,"Census Tract 94.03, Fulton, GA",5042,471,4499,509,2200,432,1620,372,4,7,422,255,0,19,0,19,253,156,0,19,253,156,543,350,179,168,0,19,190,226,0,19,0,19,174,263,0,19,0,19,0,19
14000US13121009404,"Census Tract 94.04, Fulton, GA",4274,421,4172,426,3038,360,641,246,27,34,428,272,0,13,0,13,38,64,0,13,38,64,102,76,76,69,13,24,0,13,0,13,0,13,13,23,0,13,0,13,0,13
