GEOID,name,total_population_17,total_population_25_over_17,median_income_17,median_home_value_17,educational_attainment_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,some_other_race_alone,two_or_more,hispanic_or_latino_17,city,metro_area,state,county,tract,total_population_00,white_alone_00,black_alone_00,native_alone_00,asian_alone_00,native_hawaiian_pacific_islander_00,hispanic_or_latino_00,total_population_25_over_00,median_income_00,median_home_value_00,educational_attainment_00
24031700400,"Census Tract 7004, Montgomery County, Maryland",2063,1512.0,110179.0,620900.0,841.0,1740.0,125.0,0.0,115.0,0.0,0.0,13.0,70.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7004,2028.7490329999998,1758.448608,174.5482178,11.96902084,23.93804169,0.0,56.85284805,1472.189575,91859.00116,316799.9935,678.2445068
24031700610,"Census Tract 7006.10, Montgomery County, Maryland",2245,1582.0,155938.0,488000.0,975.0,1415.0,86.0,0.0,390.0,0.0,9.0,80.0,265.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7006.10,2106.8589039999997,1583.51676,126.14290190000001,13.00289162,273.128164,0.000186556,101.0655745,1388.566104,98403.65552999999,224683.3256,755.305299
24031701214,"Census Tract 7012.14, Montgomery County, Maryland",3802,3017.0,108125.0,273800.0,2548.0,2269.0,581.0,9.0,456.0,0.0,55.0,91.0,341.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7012.14,1817.7617539999999,1432.87085,50.85345459,9.971265792999999,180.4799042,0.0,120.6523132,1473.753052,60793.001,110899.9955,1177.606445
24031705200,"Census Tract 7052, Montgomery County, Maryland",3297,2253.0,250001.0,1070000.0,2068.0,2886.0,88.0,0.0,65.0,0.0,2.0,44.0,212.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7052,3138.0,2824.0,115.0,5.0,89.0,0.0,92.0,2170.0,156623.0,475800.0,1845.0
24031701407,"Census Tract 7014.07, Montgomery County, Maryland",5729,4117.0,141389.0,489700.0,2749.0,2502.0,1534.0,0.0,969.0,0.0,0.0,285.0,439.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7014.07,5626.996981,3213.998291,1113.99939,16.99999046,1026.99939,0.0,201.99989319999997,3693.998047,104215.0007,260199.9938,2240.998779
24031702101,"Census Tract 7021.01, Montgomery County, Maryland",6121,3895.0,54508.0,362600.0,1119.0,710.0,1985.0,5.0,661.0,0.0,8.0,148.0,2604.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7021.01,5438.0,942.0,2380.0,20.0,819.0,0.0,1259.0,3417.0,45938.0,176200.0,969.0
24031700206,"Census Tract 7002.06, Montgomery County, Maryland",5563,3861.0,133953.0,431200.0,1873.0,4163.0,304.0,0.0,252.0,0.0,0.0,171.0,673.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7002.06,5432.092914,4913.77756,222.1490485,17.01258814,142.0597495,0.0,129.0878597,3211.29335,79582.70969,215195.8422,1358.519728
24031700818,"Census Tract 7008.18, Montgomery County, Maryland",6854,4126.0,65457.0,262600.0,1669.0,1413.0,2555.0,197.0,576.0,0.0,28.0,309.0,1973.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.18,5672.640254999999,2739.384088,1426.128409,35.00162542,770.0528262999999,0.000162542,662.0702183,3562.4378890000003,47048.13577,122201.0861,1413.190662
24031700901,"Census Tract 7009.01, Montgomery County, Maryland",4532,3556.0,81591.0,355100.0,2350.0,2261.0,469.0,0.0,1259.0,0.0,135.0,304.0,104.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7009.01,2852.79394,1354.027372,491.27345419999995,9.008405356,594.2611264,1.001681071,379.2095735,2254.9640510000004,47519.373139999996,134326.4317,1017.1857160000001
24031701507,"Census Tract 7015.07, Montgomery County, Maryland",5013,3644.0,123164.0,502100.0,2107.0,2024.0,1111.0,0.0,1100.0,0.0,7.0,138.0,633.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7015.07,5204.0,2694.0,977.0,12.0,1255.0,0.0,240.0,3638.0,94533.0,280800.0,2156.0
