geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US24510230200,"Census Tract 2302, Baltimore, MD",2044,209,1890,212,1626,212,137,154,0,12,65,46,0,12,0,12,62,57,11,18,51,54,154,142,147,142,0,12,0,12,0,12,0,12,0,12,7,11,7,11,0,12
14000US24510230300,"Census Tract 2303, Baltimore, MD",1431,107,1383,109,1209,111,75,46,33,53,49,32,0,12,0,12,17,15,0,12,17,15,48,36,29,27,0,12,0,12,0,12,0,12,19,25,0,12,0,12,0,12
14000US24510240100,"Census Tract 2401, Baltimore, MD",3289,249,3202,233,2982,245,88,103,0,12,99,71,0,12,23,35,10,16,0,12,10,16,87,62,23,19,2,4,33,52,0,12,0,12,22,26,7,12,0,12,7,12
14000US24510240200,"Census Tract 2402, Baltimore, MD",2944,221,2828,230,2368,241,209,160,0,12,143,58,0,12,0,12,108,79,0,12,108,79,116,71,110,71,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12
14000US24510240300,"Census Tract 2403, Baltimore, MD",2085,227,1926,227,1544,209,68,56,109,151,147,95,0,12,11,20,47,61,0,12,47,61,159,104,143,102,2,4,0,12,0,12,0,12,14,20,0,12,0,12,0,12
14000US24510240400,"Census Tract 2404, Baltimore, MD",2669,255,2559,251,2506,253,11,22,0,12,21,20,0,12,0,12,21,21,0,12,21,21,110,82,74,51,0,12,0,12,0,12,0,12,36,58,0,12,0,12,0,12
14000US24510250101,"Census Tract 2501.01, Baltimore, MD",4340,426,4256,434,495,192,3461,396,24,27,14,23,0,12,0,12,262,256,4,7,258,256,84,114,84,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510250102,"Census Tract 2501.02, Baltimore, MD",3236,385,3158,404,140,79,2990,404,0,12,14,20,0,12,0,12,14,18,0,12,14,18,78,100,59,92,0,12,0,12,0,12,0,12,0,12,19,35,0,12,19,35
14000US24510250103,"Census Tract 2501.03, Baltimore, MD",3411,364,3296,344,1941,234,1109,286,0,12,145,143,0,12,0,12,101,91,0,12,101,91,115,88,18,69,24,19,0,12,0,12,0,12,53,62,20,30,9,14,11,17
14000US24510250203,"Census Tract 2502.03, Baltimore, MD",1978,215,1897,207,238,171,1599,213,0,12,60,55,0,12,0,12,0,12,0,12,0,12,81,83,27,27,3,5,0,12,0,12,0,12,51,80,0,12,0,12,0,12
