geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001007503,"Census Tract 75.03, District of Columbia, DC",2552,275,2519,279,128,65,2381,280,0,12,0,12,0,12,0,12,10,16,0,12,10,16,33,26,0,12,8,11,0,12,0,12,0,12,18,20,7,10,0,12,7,10
14000US11001007504,"Census Tract 75.04, District of Columbia, DC",2796,407,2784,406,13,18,2771,411,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,0,12,0,12,0,12,0,12,0,12,5,13,7,12,7,12,0,12
14000US11001007601,"Census Tract 76.01, District of Columbia, DC",4965,544,4718,572,379,208,4296,582,0,12,9,17,0,12,0,12,34,40,0,12,34,40,247,126,30,30,137,96,0,12,0,12,0,12,80,69,0,12,0,12,0,12
14000US11001007603,"Census Tract 76.03, District of Columbia, DC",4530,492,4182,528,302,184,3840,542,0,12,29,44,0,12,0,12,11,17,0,12,11,17,348,259,31,37,87,114,0,12,46,52,0,12,165,235,19,32,0,12,19,32
14000US11001007604,"Census Tract 76.04, District of Columbia, DC",4522,488,4340,517,199,91,3932,557,36,51,17,21,0,12,19,30,137,117,30,49,107,106,182,125,26,28,53,60,0,12,0,12,0,12,86,114,17,28,0,12,17,28
14000US11001007605,"Census Tract 76.05, District of Columbia, DC",3933,505,3661,399,211,125,3333,400,0,12,51,42,0,12,0,12,66,60,0,12,66,60,272,362,10,16,0,12,0,12,0,12,0,12,236,361,26,42,0,12,26,42
14000US11001007703,"Census Tract 77.03, District of Columbia, DC",6682,934,6363,818,0,17,6306,814,18,32,25,40,0,17,0,17,14,24,0,17,14,24,319,481,0,17,0,17,0,17,0,17,0,17,319,481,0,17,0,17,0,17
14000US11001007707,"Census Tract 77.07, District of Columbia, DC",4787,533,4706,546,50,57,4595,551,0,12,0,12,0,12,0,12,61,51,0,12,61,51,81,109,0,12,74,107,0,12,0,12,0,12,7,12,0,12,0,12,0,12
14000US11001007708,"Census Tract 77.08, District of Columbia, DC",3055,377,3055,377,0,12,3055,377,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007709,"Census Tract 77.09, District of Columbia, DC",2410,321,2340,314,20,16,2219,311,7,11,0,12,0,12,0,12,94,76,25,28,69,66,70,73,9,16,47,64,0,12,0,12,0,12,14,32,0,12,0,12,0,12
14000US11001007803,"Census Tract 78.03, District of Columbia, DC",4232,512,3898,452,103,110,3718,442,27,38,9,15,0,12,20,27,21,24,0,12,21,24,334,357,23,37,9,14,0,12,0,12,0,12,279,322,23,35,23,35,0,12
14000US11001007804,"Census Tract 78.04, District of Columbia, DC",3833,649,3805,656,40,52,3639,607,0,12,15,21,0,12,0,12,111,92,0,12,111,92,28,47,0,12,28,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007806,"Census Tract 78.06, District of Columbia, DC",2447,341,2443,341,40,30,2370,338,33,47,0,12,0,12,0,12,0,12,0,12,0,12,4,7,0,12,0,12,0,12,0,12,0,12,4,7,0,12,0,12,0,12
14000US11001007807,"Census Tract 78.07, District of Columbia, DC",2297,268,2247,265,15,20,2155,268,0,12,7,10,0,12,0,12,70,78,0,12,70,78,50,76,0,12,0,12,0,12,0,12,0,12,50,76,0,12,0,12,0,12
14000US11001007808,"Census Tract 78.08, District of Columbia, DC",3939,683,3859,683,0,12,3787,657,29,47,10,16,0,12,0,12,33,55,0,12,33,55,80,81,11,17,8,30,0,12,9,21,0,12,23,34,29,40,0,12,29,40
14000US11001007809,"Census Tract 78.09, District of Columbia, DC",3034,418,2951,414,0,12,2865,411,0,12,8,13,0,12,0,12,78,77,0,12,78,77,83,66,0,12,56,60,0,12,0,12,0,12,0,12,27,31,15,24,12,19
14000US11001007901,"Census Tract 79.01, District of Columbia, DC",4193,529,4079,520,998,139,2879,529,26,38,23,22,0,12,86,102,67,57,0,12,67,57,114,55,55,36,17,27,0,12,0,12,0,12,30,34,12,18,0,12,12,18
14000US11001007903,"Census Tract 79.03, District of Columbia, DC",1968,252,1894,254,455,92,1385,230,0,12,27,14,0,12,8,11,19,17,0,12,19,17,74,63,45,51,0,12,0,12,0,12,0,12,19,24,10,14,10,14,0,12
14000US11001008001,"Census Tract 80.01, District of Columbia, DC",3308,308,3179,312,2099,279,810,270,0,12,108,74,0,12,11,17,151,92,9,15,142,90,129,79,93,72,3,7,0,12,0,12,0,12,33,33,0,12,0,12,0,12
14000US11001008002,"Census Tract 80.02, District of Columbia, DC",3380,284,3086,244,2125,251,845,152,0,12,69,42,0,12,0,12,47,40,0,12,47,40,294,131,254,129,0,12,0,12,0,12,0,12,28,40,12,20,12,20,0,12
14000US11001008100,"Census Tract 81, District of Columbia, DC",3450,223,3198,242,2580,227,380,139,6,10,113,100,0,12,24,37,95,46,0,12,95,46,252,128,172,108,9,14,0,12,0,12,0,12,71,75,0,12,0,12,0,12
14000US11001008200,"Census Tract 82, District of Columbia, DC",3185,338,2904,333,2488,321,241,122,0,12,116,63,0,12,0,12,59,50,0,12,59,50,281,151,151,81,13,21,0,12,0,12,0,12,12,16,105,121,0,12,105,121
14000US11001008301,"Census Tract 83.01, District of Columbia, DC",2366,295,2262,272,1930,280,226,95,0,12,56,42,0,12,8,12,42,33,10,16,32,29,104,62,83,57,7,17,0,12,0,12,0,12,14,20,0,12,0,12,0,12
