GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06001405901,"Census Tract 4059.01, Alameda County, California",4583,179.0,700.0,185.0,1652.0,0.0,1900.0,Oakland,False,0.113,-3.792,3.682,-6.539,8.235,-0.025,+37.7877860,-122.2357701
06001405902,"Census Tract 4059.02, Alameda County, California",3101,273.0,424.0,31.0,1480.0,56.0,787.0,Oakland,False,5.011,-5.393,0.645,5.142,-7.844,1.781,+37.7909447,-122.2409530
06001406000,"Census Tract 4060, Alameda County, California",3184,655.0,435.0,33.0,1377.0,7.0,524.0,Oakland,False,9.519,1.323,0.461,-2.225,-13.83,0.193,+37.7915385,-122.2513420
06001406100,"Census Tract 4061, Alameda County, California",4629,652.0,482.0,208.0,622.0,36.0,2716.0,Oakland,True,2.158,-2.258,3.261,2.904,-4.567,0.638,+37.7741755,-122.2275801
06001406201,"Census Tract 4062.01, Alameda County, California",4399,314.0,708.0,14.0,998.0,137.0,1938.0,Oakland,True,3.812,-0.003,-0.32,-5.045,-7.651,3.114,+37.7850449,-122.2307360
06001406202,"Census Tract 4062.02, Alameda County, California",4597,488.0,552.0,342.0,372.0,0.0,2770.0,Oakland,False,5.207,-1.859,6.319,-6.208,-4.357,0.0,+37.7819786,-122.2265557
06001406300,"Census Tract 4063, Alameda County, California",4128,465.0,618.0,18.0,1462.0,0.0,1481.0,Oakland,False,4.712,-16.185,-0.358,7.549,2.793,-0.272,+37.7892880,-122.2250127
06001406400,"Census Tract 4064, Alameda County, California",2355,696.0,598.0,24.0,447.0,0.0,422.0,Oakland,False,7.278,-13.535,0.184,-4.262,3.376,0.0,+37.7968060,-122.2217201
06001406500,"Census Tract 4065, Alameda County, California",6231,392.0,1151.0,105.0,926.0,24.0,3425.0,Oakland,False,-2.009,-8.235,1.061,-9.975,16.25,0.241,+37.7880811,-122.2169865
06001406601,"Census Tract 4066.01, Alameda County, California",5181,570.0,1331.0,167.0,1144.0,0.0,1567.0,Oakland,False,-0.542,-7.622,2.249,-10.18,9.361,-0.09,+37.7936093,-122.2079606
06001406602,"Census Tract 4066.02, Alameda County, California",2815,294.0,465.0,46.0,1157.0,6.0,775.0,Oakland,False,-1.1,-16.793,0.66,8.84,6.647,0.123,+37.7964782,-122.2143072
06001406700,"Census Tract 4067, Alameda County, California",4984,2400.0,641.0,26.0,1154.0,0.0,544.0,Oakland,False,-2.229,-2.242,-0.378,-0.047,1.401,-0.019,+37.8033164,-122.2022249
06001406800,"Census Tract 4068, Alameda County, California",3613,1212.0,322.0,16.0,1183.0,0.0,568.0,Oakland,False,-2.538,-9.559,-0.72,-0.212,5.031,-0.028,+37.7978944,-122.1949575
06001406900,"Census Tract 4069, Alameda County, California",3941,1373.0,546.0,25.0,882.0,28.0,676.0,Oakland,False,-3.023,-14.022,-0.394,-1.03,8.141,0.412,+37.7932754,-122.1903789
06001407000,"Census Tract 4070, Alameda County, California",6020,675.0,938.0,7.0,2151.0,0.0,1960.0,Oakland,False,-0.332,-11.884,-0.666,5.289,3.484,-0.06,+37.7879458,-122.2024901
06001407101,"Census Tract 4071.01, Alameda County, California",3444,373.0,457.0,15.0,831.0,0.0,1653.0,Oakland,False,2.95,-11.635,-0.555,5.086,1.483,-0.096,+37.7831286,-122.2143965
06001407102,"Census Tract 4071.02, Alameda County, California",4106,598.0,652.0,55.0,658.0,126.0,1888.0,Oakland,True,6.684,-9.025,0.349,-3.018,-0.533,2.973,+37.7807761,-122.2102385
06001407200,"Census Tract 4072, Alameda County, California",7064,484.0,563.0,168.0,1031.0,0.0,4824.0,Oakland,False,0.104,-0.597,1.682,3.031,-3.595,-0.043,+37.7777848,-122.2192819
06001407300,"Census Tract 4073, Alameda County, California",2485,385.0,209.0,0.0,387.0,17.0,1398.0,Oakland,False,0.708,-14.007,-0.477,6.511,3.675,0.684,+37.7621786,-122.2109235
06001407400,"Census Tract 4074, Alameda County, California",4205,168.0,708.0,0.0,465.0,22.0,2748.0,Oakland,False,0.579,-14.7,-0.433,-0.032,12.212,0.523,+37.7710407,-122.2067479
06001407500,"Census Tract 4075, Alameda County, California",4362,272.0,1384.0,44.0,218.0,0.0,2251.0,Oakland,False,2.863,-6.808,0.69,-3.708,2.676,-0.137,+37.7695150,-122.1976093
06001407600,"Census Tract 4076, Alameda County, California",6502,625.0,2669.0,0.0,746.0,0.0,2029.0,Oakland,False,0.721,-5.576,-1.182,-0.995,0.776,0.0,+37.7775293,-122.2031992
06001407700,"Census Tract 4077, Alameda County, California",4240,1134.0,2045.0,0.0,262.0,41.0,558.0,Oakland,True,10.85,-17.783,-0.587,0.83,1.636,0.945,+37.7765247,-122.1932008
06001407800,"Census Tract 4078, Alameda County, California",2742,849.0,691.0,4.0,592.0,8.0,395.0,Oakland,True,1.081,-22.659,-1.118,12.336,2.91,0.047,+37.7817417,-122.1866598
06001407900,"Census Tract 4079, Alameda County, California",2971,1224.0,446.0,0.0,601.0,21.0,353.0,Oakland,False,-1.808,-13.933,-0.538,2.223,2.843,0.635,+37.7884273,-122.1847831
06001408000,"Census Tract 4080, Alameda County, California",2762,1391.0,397.0,15.0,532.0,6.0,292.0,Oakland,False,-9.954,1.354,0.293,0.667,3.417,0.175,+37.8029607,-122.1828709
06001408100,"Census Tract 4081, Alameda County, California",6346,2344.0,1326.0,38.0,1447.0,0.0,707.0,Oakland,False,-2.672,-14.143,0.199,2.977,6.396,-0.035,+37.7853987,-122.1572109
06001408200,"Census Tract 4082, Alameda County, California",4489,869.0,2267.0,91.0,217.0,27.0,604.0,Oakland,True,3.998,-15.178,1.115,-0.248,0.693,0.578,+37.7751005,-122.1755728
06001408300,"Census Tract 4083, Alameda County, California",5172,1305.0,1817.0,28.0,459.0,48.0,1276.0,Oakland,False,4.707,-23.548,0.187,3.999,9.835,0.928,+37.7710979,-122.1645167
06001408400,"Census Tract 4084, Alameda County, California",3310,406.0,1208.0,40.0,0.0,0.0,1521.0,Oakland,False,9.807,-29.502,0.996,-3.596,18.823,-0.106,+37.7646056,-122.1709595
06001408500,"Census Tract 4085, Alameda County, California",5932,80.0,2221.0,74.0,139.0,78.0,3169.0,Oakland,False,-0.178,-19.782,0.814,-1.859,17.165,1.221,+37.7604176,-122.1785112
06001408600,"Census Tract 4086, Alameda County, California",6680,246.0,2113.0,28.0,109.0,0.0,3863.0,Oakland,False,0.931,-29.874,0.018,-2.248,26.808,0.0,+37.7661975,-122.1823030
06001408700,"Census Tract 4087, Alameda County, California",7734,409.0,3201.0,0.0,160.0,0.0,3756.0,Oakland,False,1.463,-15.514,-0.346,-2.555,14.703,0.0,+37.7688638,-122.1889449
06001408800,"Census Tract 4088, Alameda County, California",6276,240.0,2265.0,22.0,315.0,254.0,3166.0,Oakland,False,1.949,-10.218,0.1,-7.988,12.158,4.028,+37.7588039,-122.1969422
