GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
36005029500,"Census Tract 295, Bronx County, New York",4614,2600.0,540.0,0.0,246.0,0.0,1070.0,New York City,False,-11.55,4.941,-0.025,-2.436,6.331,-0.049,+40.8849350,-073.9085679
36005029600,"Census Tract 296, Bronx County, New York",1650,403.0,325.0,19.0,486.0,0.0,411.0,New York City,False,-20.59,9.779,0.836,0.884,9.729,0.0,+40.8553721,-073.8450221
36005029700,"Census Tract 297, Bronx County, New York",3791,2483.0,207.0,0.0,191.0,43.0,822.0,New York City,False,-9.634,0.397,-0.184,-2.989,12.003,1.134,+40.8849310,-073.9118383
36005030000,"Census Tract 300, Bronx County, New York",5687,1914.0,360.0,0.0,729.0,0.0,2655.0,New York City,False,-34.188,4.641,-0.273,8.06,22.41,0.0,+40.8521940,-073.8312298
36005030100,"Census Tract 301, Bronx County, New York",1314,684.0,100.0,0.0,57.0,0.0,447.0,New York City,False,-28.938,1.252,-0.265,0.762,25.475,0.0,+40.8832399,-073.9179338
36005030200,"Census Tract 302, Bronx County, New York",9613,549.0,5917.0,0.0,116.0,0.0,2316.0,New York City,False,-7.195,-0.091,-0.237,0.316,0.344,-0.011,+40.8634527,-073.8224361
36005030701,"Census Tract 307.01, Bronx County, New York",5580,4054.0,311.0,0.0,170.0,0.0,901.0,New York City,False,-12.397,2.142,-0.049,-0.639,8.981,0.0,+40.8931511,-073.9105743
36005030900,"Census Tract 309, Bronx County, New York",3582,2574.0,166.0,19.0,129.0,0.0,654.0,New York City,False,-16.292,1.569,0.495,0.923,12.685,-0.027,+40.9010058,-073.9203668
36005031000,"Census Tract 310, Bronx County, New York",4806,1520.0,1029.0,196.0,417.0,0.0,1725.0,New York City,False,-27.243,7.149,3.938,3.915,15.865,0.0,+40.8612380,-073.8360660
36005031200,"Census Tract 312, Bronx County, New York",1779,671.0,461.0,0.0,308.0,0.0,284.0,New York City,False,-25.188,15.333,-0.319,10.685,-3.156,0.0,+40.8620616,-073.8424492
36005031400,"Census Tract 314, Bronx County, New York",2228,839.0,269.0,0.0,255.0,0.0,807.0,New York City,False,-19.359,3.032,-0.445,3.392,13.988,-0.198,+40.8615367,-073.8455326
36005031600,"Census Tract 316, Bronx County, New York",1899,709.0,148.0,0.0,281.0,0.0,719.0,New York City,False,-22.361,-2.661,-0.393,8.108,18.019,0.0,+40.8619716,-073.8487247
36005031800,"Census Tract 318, Bronx County, New York",2001,720.0,492.0,23.0,143.0,0.0,646.0,New York City,False,-16.33,13.557,0.982,-3.829,8.161,0.0,+40.8619545,-073.8515677
36005031900,"Census Tract 319, Bronx County, New York",636,367.0,78.0,0.0,30.0,0.0,157.0,New York City,False,-42.296,12.264,0.0,4.717,24.686,0.0,+40.9138727,-073.9111066
36005032300,"Census Tract 323, Bronx County, New York",4423,2807.0,494.0,0.0,266.0,0.0,640.0,New York City,False,-3.1,-1.223,-0.173,0.637,0.016,-0.019,+40.9053418,-073.9075805
36005032400,"Census Tract 324, Bronx County, New York",3173,332.0,623.0,0.0,27.0,0.0,2066.0,New York City,False,-16.182,-6.374,-0.106,-1.626,22.189,-0.035,+40.8613415,-073.8597052
36005032600,"Census Tract 326, Bronx County, New York",3463,1593.0,333.0,6.0,793.0,0.0,703.0,New York City,False,-8.823,2.217,-0.576,9.911,-1.586,0.0,+40.8621878,-073.8554777
36005032800,"Census Tract 328, Bronx County, New York",4005,477.0,943.0,62.0,447.0,0.0,2032.0,New York City,False,-23.828,4.318,1.319,6.157,13.653,0.0,+40.8617366,-073.8631301
36005033000,"Census Tract 330, Bronx County, New York",5925,1840.0,863.0,0.0,46.0,0.0,3119.0,New York City,False,-5.67,-1.792,-0.333,-3.607,13.705,-0.039,+40.8616561,-073.8660255
36005033201,"Census Tract 332.01, Bronx County, New York",4490,796.0,652.0,90.0,35.0,0.0,2886.0,New York City,True,-9.395,-7.175,1.757,-2.768,18.844,-0.012,+40.8594756,-073.8692323
36005033202,"Census Tract 332.02, Bronx County, New York",4334,661.0,1164.0,0.0,51.0,0.0,2429.0,New York City,False,-11.872,5.161,-0.247,-2.371,10.613,-0.012,+40.8633818,-073.8689413
36005033400,"Census Tract 334, Bronx County, New York",570,92.0,88.0,0.0,9.0,0.0,381.0,New York City,False,12.569,-39.472,-0.446,-6.903,36.038,0.0,+40.8600460,-073.8742257
36005033500,"Census Tract 335, Bronx County, New York",2112,1486.0,118.0,0.0,126.0,0.0,332.0,New York City,False,-8.932,-0.02,-0.192,1.754,6.032,0.0,+40.8906400,-073.9070543
36005033600,"Census Tract 336, Bronx County, New York",6822,221.0,2780.0,20.0,129.0,0.0,3629.0,New York City,False,-3.44,-5.909,-0.049,-1.921,11.13,0.0,+40.8684895,-073.8688853
36005033700,"Census Tract 337, Bronx County, New York",2490,1614.0,195.0,8.0,152.0,0.0,396.0,New York City,False,-8.919,3.522,0.155,-2.278,4.131,0.0,+40.9063107,-073.9025182
36005033800,"Census Tract 338, Bronx County, New York",4350,342.0,1454.0,52.0,335.0,0.0,2168.0,New York City,False,-3.339,-12.001,0.883,4.738,13.508,0.0,+40.8684380,-073.8658167
36005034000,"Census Tract 340, Bronx County, New York",4984,255.0,1922.0,116.0,91.0,0.0,2422.0,New York City,False,-7.934,2.6,2.144,-0.995,1.578,0.0,+40.8684405,-073.8629232
36005034200,"Census Tract 342, Bronx County, New York",2040,125.0,920.0,65.0,70.0,0.0,895.0,New York City,False,-8.289,-6.239,2.664,0.104,14.062,0.0,+40.8684165,-073.8600256
36005034300,"Census Tract 343, Bronx County, New York",1609,618.0,297.0,0.0,2.0,0.0,661.0,New York City,False,-20.445,6.039,0.0,-6.182,19.616,0.0,+40.9096703,-073.8981740
36005034400,"Census Tract 344, Bronx County, New York",2207,125.0,772.0,0.0,262.0,0.0,832.0,New York City,False,-9.951,-18.045,-1.106,7.837,13.495,0.0,+40.8683644,-073.8571317
36005034500,"Census Tract 345, Bronx County, New York",3591,1827.0,278.0,0.0,561.0,0.0,893.0,New York City,False,-7.683,-2.375,-0.229,8.591,3.891,0.0,+40.9040602,-073.8986900
36005034800,"Census Tract 348, Bronx County, New York",6776,159.0,3077.0,0.0,172.0,0.0,3250.0,New York City,False,-5.114,-11.392,-0.317,0.752,15.448,0.0,+40.8694471,-073.8530706
